-1.0000000000,0.000000e+00
-0.9999247000,1.071408e-03
-0.9996988000,4.285097e-03
-0.9993224000,9.638786e-03
-0.9987954000,1.712398e-02
-0.9981181000,2.671038e-02
-0.9972904000,3.831008e-02
-0.9963126000,5.171764e-02
-0.9951847000,6.654020e-02
-0.9939070000,8.216353e-02
-0.9924796000,9.780796e-02
-0.9909027000,1.126859e-01
-0.9891765000,1.261914e-01
-0.9873014000,1.380179e-01
-0.9852777000,1.481546e-01
-0.9831055000,1.567940e-01
-0.9807853000,1.642200e-01
-0.9783174000,1.707235e-01
-0.9757021000,1.765577e-01
-0.9729400000,1.819246e-01
-0.9700313000,1.869778e-01
-0.9669765000,1.918310e-01
-0.9637761000,1.965681e-01
-0.9604305000,2.012509e-01
-0.9569404000,2.059253e-01
-0.9533060000,2.106262e-01
-0.9495282000,2.153801e-01
-0.9456073000,2.202078e-01
-0.9415441000,2.251258e-01
-0.9373390000,2.301475e-01
-0.9329928000,2.352840e-01
-0.9285061000,2.405445e-01
-0.9238795000,2.459368e-01
-0.9191139000,2.514674e-01
-0.9142098000,2.571417e-01
